@relation InstanceResultListener

@attribute Key_Dataset {breast-cancer,horse-colic,german_credit,heart-statlog,hepatitis,labor,sonar,vote}
@attribute Key_Run {1}
@attribute Key_Scheme {weka.classifiers.meta.FilteredClassifier}
@attribute Key_Scheme_options {'-F \"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\" -W weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5','-F \"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\" -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0','-F \"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\" -W weka.classifiers.functions.VotedPerceptron -- -I 1 -E 1.0 -S 1 -M 10000','-F \"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\" -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-F \"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\" -W weka.classifiers.rules.DecisionTable -- -X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"','-F \"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\" -W weka.classifiers.trees.RandomTree -- -K 0 -M 1.0 -V 0.001 -S 1','-F \"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\" -W weka.classifiers.trees.REPTree -- -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0','-F \"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\" -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1'}
@attribute Key_Scheme_version_ID {-4523450618538717400}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

breast-cancer,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\" -W weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',-4523450618538717400,20191123.2351,143,143,96,47,0,67.132867,32.867133,0,0.264097,0.367203,0.501639,87.65781,110.113983,124.951512,169.249066,-44.297554,0.873787,1.18356,-0.309773,8.95505,0.062623,1011.338383,0.712871,72,0.428571,18,0.571429,24,0.287129,29,0.8,0.712871,0.753927,0.268104,0.668788,0.818707,0.671329,0.387029,0.612971,0.328671,0.698034,0.671329,0.680893,0.268104,0.668788,0.727803,0.629595,0.671329,0.001,0,0.000535,0.000402,0.535,0.402,10725,18711,18711,91.608392,85.664336,?
horse-colic,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\" -W weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',-4523450618538717400,20191123.2351,184,184,142,42,0,77.173913,22.826087,0,0.518924,0.248561,0.443477,53.300486,91.876241,174.863251,260.004619,-85.141368,0.950344,1.413069,-0.462725,80.625073,0.43818,8474.252156,0.793103,92,0.264706,18,0.735294,50,0.206897,24,0.836364,0.793103,0.814159,0.520154,0.816493,0.8613,0.771739,0.243342,0.756658,0.228261,0.776979,0.771739,0.773532,0.520154,0.816493,0.834637,0.759192,0.771739,0.002,0.001,0.001494,0.000831,1.494,0.831,19555,43698,43698,86.413043,65.76087,?
german_credit,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\" -W weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',-4523450618538717400,20191123.2351,500,500,350,150,0,70,30,0,0.350087,0.345943,0.450704,82.304873,98.35143,440.646539,435.812341,4.834198,0.881293,0.871625,0.009668,62.514974,0.12503,7085.754731,0.711429,249,0.326667,49,0.673333,101,0.288571,101,0.83557,0.711429,0.768519,0.359325,0.760133,0.877145,0.7,0.315238,0.684762,0.3,0.734899,0.7,0.710122,0.359325,0.760133,0.783831,0.671191,0.7,0.002,0.002,0.002812,0.001829,2.812,1.829,18564,102823,102823,98.8,92,?
heart-statlog,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\" -W weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',-4523450618538717400,20191123.2351,135,135,110,25,0,81.481481,18.518519,0,0.626866,0.210548,0.376303,42.628163,75.729337,133.795527,95.653137,38.14239,0.991078,0.708542,0.282536,78.050898,0.578155,7873.310246,0.813333,61,0.183333,11,0.816667,49,0.186667,14,0.847222,0.813333,0.829932,0.627495,0.896,0.911818,0.814815,0.184815,0.815185,0.185185,0.816358,0.814815,0.815184,0.627495,0.896,0.89966,0.81334,0.814815,0.002,0.001,0.002057,0.000384,2.057,0.384,13544,20847,20847,95.555556,71.481481,?
hepatitis,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\" -W weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',-4523450618538717400,20191123.2351,78,77,67,10,0,87.012987,12.987013,0,0.653465,0.155979,0.336939,46.984456,83.040031,56.774983,49.819094,6.955889,0.737337,0.647001,0.090336,26.677465,0.346461,3574.944821,0.875,14,0.131148,8,0.868852,53,0.125,2,0.636364,0.875,0.736842,0.668065,0.936475,0.799092,0.87013,0.126277,0.873723,0.12987,0.895632,0.87013,0.877024,0.668065,0.936475,0.945632,0.825318,0.87013,0.001,0,0.001052,0.000247,1.052,0.247,16645,17900,17711,93.506494,62.987013,?
labor,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\" -W weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',-4523450618538717400,20191123.2351,29,28,26,2,0,92.857143,7.142857,0,0.851064,0.096665,0.263607,21.081743,55.014145,26.328475,10.831115,15.49736,0.940303,0.386826,0.553477,20.973961,0.74907,2235.278443,1,10,0.111111,2,0.888889,16,0,0,0.833333,1,0.909091,0.860663,0.977778,0.965152,0.928571,0.039683,0.960317,0.071429,0.940476,0.928571,0.929717,0.860663,0.977778,0.980223,0.925134,0.928571,0,0.001,0.000923,0.000099,0.923,0.099,15340,7673,7508,96.428571,60.714286,?
sonar,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\" -W weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',-4523450618538717400,20191123.2351,104,104,80,24,0,76.923077,23.076923,0,0.534328,0.254498,0.446426,51.122126,89.532014,103.586755,130.711649,-27.124895,0.996026,1.256843,-0.260816,51.527619,0.495458,5164.704858,0.729167,35,0.196429,11,0.803571,45,0.270833,13,0.76087,0.729167,0.744681,0.534731,0.810082,0.782211,0.769231,0.236493,0.763507,0.230769,0.768942,0.769231,0.7688,0.534731,0.810082,0.792781,0.767077,0.769231,0.005,0.001,0.005304,0.000791,5.304,0.791,45120,58058,58058,85.576923,63.942308,?
vote,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\" -W weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',-4523450618538717400,20191123.2351,217,218,195,23,0,89.449541,10.550459,0,0.783525,0.0995,0.299716,20.976495,61.58396,209.658789,177.453217,32.205572,0.961738,0.814006,0.147732,164.240965,0.753399,17044.857315,0.865672,116,0.059524,5,0.940476,79,0.134328,18,0.958678,0.865672,0.909804,0.789456,0.97779,0.986798,0.894495,0.088348,0.911652,0.105505,0.903097,0.894495,0.895595,0.789456,0.97779,0.97894,0.891366,0.894495,0.001,0,0.000717,0.000417,0.717,0.417,12704,39242,39407,93.577982,52.981651,?
breast-cancer,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.supervised.instance.ClassBalancer -num-intervals 10\" -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-4523450618538717400,20191123.2351,143,143,93,50,0,65.034965,34.965035,0,0.241621,0.409372,0.461393,97.724241,101.279609,124.951512,127.680581,-2.729069,0.873787,0.892871,-0.019084,-0.355483,-0.002486,-40.146507,0.673267,68,0.404762,17,0.595238,25,0.326733,33,0.8,0.673267,0.731183,0.249066,0.672324,0.78905,0.65035,0.381844,0.618156,0.34965,0.691633,0.65035,0.663283,0.249066,0.672324,0.699214,0.615591,0.65035,0.028,0,0.027711,0.000261,27.711,0.261,15453,18711,18711,100,100,?
